Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Mus_musculus	Lin28b	ENSMUSG00000063804	CSD	ENSMUSP00000078361.7;	380669
Mus_musculus	Tbx2	ENSMUSG00000000093	T-box	ENSMUSP00000000095.7;	21385
Mus_musculus	Dmtf1	ENSMUSG00000042508	MYB	ENSMUSP00000071815.6;ENSMUSP00000139361.2;ENSMUSP00000139231.2;ENSMUSP00000092627.5;	23857
Mus_musculus	Irx4	ENSMUSG00000021604	Homeobox	ENSMUSP00000134738.2;ENSMUSP00000022095.8;	50916
Mus_musculus	Irf3	ENSMUSG00000003184	IRF	ENSMUSP00000146773.2;ENSMUSP00000146383.2;ENSMUSP00000103465.2;ENSMUSP00000003284.9;	54131
Mus_musculus	Gm14391	ENSMUSG00000078903	zf-C2H2	ENSMUSP00000127636.2;ENSMUSP00000104686.3;ENSMUSP00000104684.2;	665001
Mus_musculus	Zfp507	ENSMUSG00000044452	zf-C2H2	ENSMUSP00000058609.5;ENSMUSP00000145751.2;	668501
Mus_musculus	Zfp981	ENSMUSG00000056300	zf-C2H2	ENSMUSP00000101361.3;ENSMUSP00000136739.2;	100041433
Mus_musculus	Irf2	ENSMUSG00000031627	IRF	ENSMUSP00000034041.8;ENSMUSP00000146992.2;ENSMUSP00000147318.2;ENSMUSP00000146714.2;ENSMUSP00000147138.2;ENSMUSP00000146495.3;ENSMUSP00000147279.2;	16363
Mus_musculus	Zfx	ENSMUSG00000079509	zf-C2H2	ENSMUSP00000109560.2;ENSMUSP00000109559.2;ENSMUSP00000085423.6;	22764
Mus_musculus	Gm5141	ENSMUSG00000091183	zf-C2H2	ENSMUSP00000144368.2;ENSMUSP00000126604.3;	380850
Mus_musculus	Tef	ENSMUSG00000022389	TF_bZIP	ENSMUSP00000105180.3;ENSMUSP00000023024.8;	21685
Mus_musculus	Rhox3h	ENSMUSG00000071769	Homeobox	ENSMUSP00000094196.5;	434758
Mus_musculus	Bnc2	ENSMUSG00000028487	zf-C2H2	ENSMUSP00000135607.2;ENSMUSP00000135778.2;ENSMUSP00000102816.3;ENSMUSP00000135375.2;ENSMUSP00000135580.2;ENSMUSP00000135480.2;ENSMUSP00000099884.3;	242509
Mus_musculus	Meox1	ENSMUSG00000001493	Homeobox	ENSMUSP00000051158.8;	17285
Mus_musculus	Zfp775	ENSMUSG00000007216	zf-C2H2	ENSMUSP00000056290.4;ENSMUSP00000145369.2;ENSMUSP00000145192.2;	243372
Mus_musculus	Foxj1	ENSMUSG00000034227	Fork_head	ENSMUSP00000038351.7;	15223
Mus_musculus	Zfp619	ENSMUSG00000068959	zf-C2H2	ENSMUSP00000103650.2;	70227
Mus_musculus	Sebox	ENSMUSG00000001103	Homeobox	ENSMUSP00000001130.7;	NA
Mus_musculus	Gm17067	ENSMUSG00000091594	zf-C2H2	ENSMUSP00000128086.2;	115486519
Mus_musculus	Creb1	ENSMUSG00000025958	TF_bZIP	ENSMUSP00000132860.2;ENSMUSP00000059973.6;ENSMUSP00000140112.2;ENSMUSP00000084624.5;ENSMUSP00000139995.2;	12912
Mus_musculus	Atoh7	ENSMUSG00000036816	bHLH	ENSMUSP00000039801.4;	53404
Mus_musculus	Gm14124	ENSMUSG00000079008	zf-C2H2	ENSMUSP00000105548.2;	100216455
Mus_musculus	Nfatc1	ENSMUSG00000033016	RHD	ENSMUSP00000158358.2;ENSMUSP00000126884.2;ENSMUSP00000077196.5;ENSMUSP00000158284.2;ENSMUSP00000129001.2;ENSMUSP00000046312.8;	18018
Mus_musculus	Tfap2b	ENSMUSG00000025927	AP-2	ENSMUSP00000140213.2;ENSMUSP00000027059.5;ENSMUSP00000064488.5;	21419
Mus_musculus	Zfp729a	ENSMUSG00000021510	zf-C2H2	ENSMUSP00000012314.8;	212281
Mus_musculus	Hoxc11	ENSMUSG00000001656	Homeobox	ENSMUSP00000001701.4;	109663
Mus_musculus	Zfp871	ENSMUSG00000024298	zf-C2H2	ENSMUSP00000127178.2;ENSMUSP00000050501.9;	208292
Mus_musculus	Zfp277	ENSMUSG00000055917	zf-C2H2	ENSMUSP00000064226.9;ENSMUSP00000068032.8;	246196
Mus_musculus	Rhox3e	ENSMUSG00000059626	Homeobox	ENSMUSP00000110852.3;ENSMUSP00000080075.6;	100135657
Mus_musculus	Zbtb16	ENSMUSG00000066687	ZBTB	ENSMUSP00000150887.2;ENSMUSP00000150887.2;ENSMUSP00000091374.4;ENSMUSP00000091374.4;	235320
Mus_musculus	Bbx	ENSMUSG00000022641	HMG	ENSMUSP00000086821.5;ENSMUSP00000086826.4;ENSMUSP00000110132.2;ENSMUSP00000119238.2;	70508
Mus_musculus	Zfp59	ENSMUSG00000078779	zf-C2H2	ENSMUSP00000103968.3;ENSMUSP00000145671.2;	22717
Mus_musculus	Tfec	ENSMUSG00000029553	bHLH	ENSMUSP00000031533.8;	21426
Mus_musculus	Tfam	ENSMUSG00000003923	HMG	ENSMUSP00000090086.5;ENSMUSP00000120871.2;ENSMUSP00000113581.2;ENSMUSP00000101072.4;	21780
Mus_musculus	Zfp786	ENSMUSG00000051499	zf-C2H2	ENSMUSP00000057495.6;	330301
Mus_musculus	Dmrtb1	ENSMUSG00000028610	DM	ENSMUSP00000064220.5;	56296
Mus_musculus	Zfp369	ENSMUSG00000021514	zf-C2H2	ENSMUSP00000119114.2;	170936
Mus_musculus	Jdp2	ENSMUSG00000034271	TF_bZIP	ENSMUSP00000136823.2;ENSMUSP00000129985.3;ENSMUSP00000059724.7;	81703
